epoch,train_total,val_total,train_cls,val_cls,train_mass,val_mass
1,11.44561099898627,4.104157032193364,10.73097937837926,8.729573560727609,24.80904719723874,27.04234347794507
2,3.9138314712325224,3.932375630816898,7.635668670925138,7.722518903983606,22.196866249876933,22.610727229633845
3,3.795882611951821,3.6441245940891474,6.439132496345142,5.695181690760561,20.78267175590607,17.176006787532085
4,3.6985289131582992,3.612691636021073,5.544402592214403,5.510563504856986,19.847682766588356,16.79870638492945
5,3.61698823911995,3.4708072172628865,4.943905740550906,4.303797364234924,18.95541554783449,16.216740398793608
6,3.5436540101364447,3.449537708147152,4.418408527712819,4.135361256228911,18.289036736463263,16.202723577215863
7,3.490294773358317,3.285076706796079,4.036686839397288,3.2071947993056193,17.983192142017973,14.772945471712061
8,3.4261074007050065,3.2606897241360433,3.6349583333547093,3.2268508474367694,17.539192012339765,14.06514056953224
9,3.378745599316082,3.172252939359562,3.3736654915122677,2.8213727695716395,17.19667218700555,13.42206552866343
10,3.3210757565981996,3.182855697097005,3.0740383277030747,2.934033873918894,16.812553874000763,13.281242699236483
11,3.2681767713029433,3.1389006150735392,2.8088750645551888,2.5535179268870807,16.542965948805605,13.97687417671487
12,3.2176912249164595,3.113174821879413,2.5878183225842903,2.2363252594462923,16.2414577401374,15.217958155516031
13,3.1647592773122235,2.992033732098502,2.3792755792209923,2.1418165228254087,15.899964279737981,12.312302784339801
14,3.128207057781635,2.9888906060038387,2.2278974806563823,2.0134475301649117,15.77950937778407,13.003412272479084
15,3.0730501484100663,2.9356443873933844,2.031382972599867,1.881166699468284,15.523954364252127,12.670389964773848
16,3.03569357812539,2.8915514768780888,1.8957907396944549,1.7240842507296317,15.387741904076018,12.616103107059324
17,2.9818126904525584,2.7987554282755465,1.7384229930191897,1.5228540548249274,15.100649637355561,11.798092581130362
18,2.933528644889929,2.880860115225251,1.6004597360168875,1.657724444276175,14.859514463315056,12.85453786076726
19,2.8940864616009994,2.757133167337727,1.5017984616524693,1.4287981997948844,14.651237976094281,11.596396324602333
20,2.8463741491648777,2.746505486804086,1.3791173978895508,1.4054877191177897,14.498476988117467,11.542913124367997
21,2.7962660971304065,2.7685490202259375,1.2601433409186211,1.3538052829838283,14.349269391449656,12.579348488433942
22,2.753843252816476,2.681318107891727,1.1722963822475172,1.183254534126939,14.219222563581303,12.10725057366732
23,2.7038277868576106,2.7040120725696153,1.0781188091846738,1.130903690549973,13.958502474536939,13.268675269307318
24,2.6537426825665964,2.6123861928243897,0.9841934817512173,1.124419577306489,13.829875190395954,10.940794947985056
25,2.5996031824311845,2.5510980112327113,0.8979158775851545,0.9765532991622348,13.598924837194826,11.215435005523062
26,2.5561892112603677,2.5581936224086865,0.828961776072687,0.9907649395911878,13.483468533816147,11.086390382534749
27,2.5245144386922034,2.538805552431055,0.7764015387132159,0.9484599095681129,13.494860761421771,10.784940532735876
28,2.4553000734409474,2.5006670923651875,0.6920629493943972,0.8860743310856255,13.225993315946061,10.758072209519309
29,2.421914079420375,2.5127062684780843,0.6532644753244298,0.8888648469001055,13.086064508586428,10.724422127813906
30,2.3845492754996407,2.4003397008857212,0.6104019621651617,0.7559803330364663,12.999909394222664,10.35206164218284
31,2.324435938622699,2.3979500616724425,0.5480360767396851,0.7362793957644671,12.812965873754804,10.21780655754579
32,2.266724844430283,2.458945739913631,0.4914128408399232,0.7590484627321161,12.731249570577866,10.329406540941548
33,2.233798384621661,2.4498780450305424,0.46420469736242365,0.7160181374968709,12.549288599227802,10.279499505822724
34,2.1424410565288152,2.4071233933036393,0.39080519451193685,0.6506882133214055,12.515431455075516,10.502693976099426
35,2.1362598408083553,2.4565225179130965,0.3563684138447007,0.665052887055444,13.413480115151781,10.058826528690958
36,2.0517926786198464,2.4643883552100205,0.3318718641348796,0.6526303581430929,12.293949045962986,9.727488994598389
37,2.0487726408677562,2.510540186956122,0.32964682697362574,0.6461828208474971,12.112358214083155,9.405451358975592
38,1.9577599983749132,2.412524448455991,0.2784560081985612,0.5729066427416369,12.141382411133517,9.314413545099464
39,1.9108701887030426,2.5631291705208854,0.2560414959194022,0.6036508571202364,11.987153060627914,9.64243350480054
40,1.8760335783059217,2.5164408776405693,0.2394898550010795,0.5696050531492015,11.959421480937975,9.077942384255898
41,1.84488058744025,2.512680817697499,0.22653035391872547,0.5432526445660482,11.857212418098364,9.188709349245638
